objective/training/accuracy_reward,objective/training/accuracy_reward_std,objective/training/format_reward,objective/training/format_reward_std,objective/training/total_rewards,objective/training/total_rewards_std,objective/training/completion_length,objective/training/completion_length_std,elapsed/generation_time,elapsed/generation_episodes,elapsed/explore_epsilon,training/total_loss,training/pg_loss,training/kl_loss,training/kl,training/kl_std,elapsed/train_time,elapsed/policy_update,elapsed/reference_update,training/learning_rate,elapsed/step_time,step
0.7265625,0.4453125,-0.015625,0.0869140625,0.7109375,0.462890625,560.0,276.0,140.0,34816.0,0.875,0.00885009765625,0.00872802734375,9.250640869140625e-05,0.00921630859375,0.01312255859375,159.0,272.0,0.0,4.917383193969727e-07,330.0,34
0.73828125,0.439453125,-0.02197265625,0.1025390625,0.71484375,0.46875,576.0,376.0,164.0,35840.0,0.875,-0.005828857421875,-0.006011962890625,0.00016117095947265625,0.01611328125,0.055419921875,168.0,280.0,0.0,4.917383193969727e-07,374.0,35
0.765625,0.423828125,-0.0234375,0.10595703125,0.7421875,0.462890625,560.0,358.0,147.0,36864.0,0.875,-0.059814453125,-0.06005859375,0.0002689361572265625,0.0269775390625,0.09228515625,166.0,288.0,0.0,4.917383193969727e-07,370.0,36
0.65234375,0.4765625,-0.03076171875,0.1201171875,0.62109375,0.51171875,572.0,410.0,142.0,37888.0,0.87109375,-0.0299072265625,-0.030029296875,9.918212890625e-05,0.00994873046875,0.01043701171875,165.0,296.0,0.0,4.917383193969727e-07,370.0,37
0.71875,0.451171875,-0.03515625,0.1279296875,0.6796875,0.5078125,528.0,294.0,134.0,38912.0,0.87109375,0.0242919921875,0.0238037109375,0.000514984130859375,0.05126953125,0.4296875,161.0,304.0,0.0,4.917383193969727e-07,352.0,38
0.6875,0.46484375,-0.01220703125,0.0771484375,0.67578125,0.48046875,548.0,294.0,141.0,39936.0,0.8671875,-0.0191650390625,-0.019287109375,9.775161743164062e-05,0.009765625,0.0113525390625,158.0,312.0,0.0,4.917383193969727e-07,354.0,39
0.796875,0.40234375,-0.03076171875,0.1201171875,0.765625,0.43359375,556.0,316.0,165.0,40960.0,0.8671875,0.01123046875,0.01092529296875,0.00031280517578125,0.03125,0.19140625,156.0,320.0,0.0,4.917383193969727e-07,366.0,40
0.64453125,0.478515625,-0.02197265625,0.1025390625,0.62109375,0.5,560.0,392.0,171.0,41984.0,0.8671875,0.05859375,0.058349609375,0.0001316070556640625,0.01312255859375,0.016845703125,161.0,328.0,0.0,4.880130290985107e-07,360.0,41
0.671875,0.470703125,-0.04052734375,0.13671875,0.6328125,0.498046875,588.0,302.0,152.0,43008.0,0.86328125,-0.03662109375,-0.036865234375,0.00016498565673828125,0.0164794921875,0.0203857421875,153.0,336.0,0.0,4.880130290985107e-07,370.0,42
0.78125,0.412109375,-0.05078125,0.1513671875,0.734375,0.46875,604.0,346.0,132.0,44032.0,0.86328125,-0.0086669921875,-0.0087890625,0.00014495849609375,0.01446533203125,0.048583984375,157.0,344.0,0.0,4.880130290985107e-07,326.0,43
0.83203125,0.375,-0.02978515625,0.1181640625,0.80078125,0.419921875,556.0,358.0,135.0,45056.0,0.859375,-0.0247802734375,-0.02490234375,0.000171661376953125,0.0172119140625,0.037841796875,157.0,352.0,0.0,4.880130290985107e-07,334.0,44
0.69921875,0.458984375,-0.02294921875,0.1044921875,0.67578125,0.478515625,552.0,358.0,154.0,46080.0,0.859375,-0.03369140625,-0.034912109375,0.00107574462890625,0.107421875,1.0546875,157.0,360.0,0.0,4.880130290985107e-07,348.0,45
0.76171875,0.42578125,-0.02197265625,0.1025390625,0.7421875,0.466796875,560.0,346.0,152.0,47104.0,0.85546875,-0.01300048828125,-0.01318359375,0.000186920166015625,0.0186767578125,0.045654296875,159.0,368.0,0.0,4.880130290985107e-07,352.0,46
0.8125,0.392578125,-0.0166015625,0.08984375,0.79296875,0.412109375,524.0,274.0,134.0,48128.0,0.85546875,0.0137939453125,0.01361083984375,0.000148773193359375,0.014892578125,0.038818359375,151.0,376.0,0.0,4.880130290985107e-07,314.0,47
0.74609375,0.435546875,-0.015625,0.0869140625,0.73046875,0.447265625,508.0,304.0,129.0,49152.0,0.8515625,-0.055908203125,-0.05615234375,0.0001430511474609375,0.01434326171875,0.0220947265625,157.0,384.0,0.0,4.842877388000488e-07,314.0,48
0.8046875,0.396484375,-0.0078125,0.06201171875,0.796875,0.41015625,544.0,260.0,114.5,50176.0,0.8515625,-0.037109375,-0.037353515625,0.00010728836059570312,0.0107421875,0.026611328125,157.0,392.0,0.0,4.842877388000488e-07,306.0,49
